Date,close,daily_return,ma_7,ma_30,volatility_30,rsi_14
2019-02-12,500.0719604492188,-0.00465039093618691,498.15831211635043,495.5264831542969,0.007814594511767413,56.186351902304345
2019-02-14,495.4932861328125,-0.009156030888621047,498.3361075265067,495.383251953125,0.007815830601997061,51.86842523244584
2019-02-15,493.2507934570313,-0.004525778125639701,497.8865966796875,495.2959818522135,0.007727694806429962,51.07610809627197
2019-02-18,490.7266540527344,-0.005117354980021527,496.7880379813058,495.0803507486979,0.007760431005172372,51.337624292188295
2019-02-19,489.35296630859375,-0.002799293115211543,495.6743687220982,494.79388631184895,0.0077635876931004075,56.808214109603966
2019-02-20,495.0588073730469,0.011659970322638102,495.19468906947543,494.83575948079425,0.007929270125714392,68.82188432079816
2019-02-21,496.8316345214844,0.003581043548835705,494.3980146135603,494.82871500651044,0.007864102760512586,61.38020355484531
2019-02-22,491.090576171875,-0.011555339778512308,493.1149597167969,494.6952657063802,0.008115389276671254,50.29093460473571
2019-02-25,499.0623168945313,0.01623272998801406,493.6248212541853,494.8009297688802,0.008651662967888168,55.35530702737204
2019-02-26,495.598876953125,-0.006939894726890938,493.9602617536272,494.8713724772135,0.008702327666775292,49.13689763437711
2019-02-27,491.2784118652344,-0.008717665210325465,494.0390842982701,494.639306640625,0.008659632835069968,42.64992668875114
2019-02-28,487.8267211914063,-0.0070259359875453065,493.82104928152904,494.30548807779945,0.008742938231603695,40.814413018676106
2019-03-01,489.1886596679688,0.002791848862309765,492.98245675223217,493.922358194987,0.008685969071722505,40.923880417817266
2019-03-05,494.7652893066406,0.0113997524849756,492.687264578683,493.7411631266276,0.008963728820358322,42.70992215316476
2019-03-06,494.09613037109375,-0.001352477528253071,493.1166294642857,493.39756266276044,0.008811841990383021,44.112921652335956
2019-03-07,499.3206176757813,0.010573827608736153,493.15352957589295,493.3243794759115,0.008988852556542205,53.723114337318115
2019-03-08,499.7197570800781,0.0007993649574389305,493.7422267368862,493.5028340657552,0.008582747556424476,56.52689057362733
2019-03-11,499.7784729003906,0.00011749749630785011,494.95652117047996,493.70789896647136,0.008575543926404841,59.61102268721096
2019-03-12,509.7696228027344,0.019991156970730728,498.0912214006697,494.2949208577474,0.009257420602150627,68.32461493035412
2019-03-13,522.813232421875,0.025587263414062145,502.8947317940848,495.40948181152345,0.010170378995954056,72.01123194666907
2019-03-14,522.3905639648438,-0.0008084501898952823,506.84119960239957,496.71775716145834,0.00979000379913179,70.71363949563995
2019-03-15,529.0239868164062,0.012698205727944334,511.83089338030135,498.4263844807943,0.00959797023160175,80.30393604343865
2019-03-18,531.008056640625,0.0037504345240726433,516.357670375279,499.84697774251305,0.008919308455275657,78.22032600631479
2019-03-19,532.4873657226562,0.002785850541308088,521.0387573242188,501.2346995035807,0.008909473768768853,83.77048978807296
2019-03-20,539.8251342773438,0.01378017400418341,526.7597089494977,502.7539133707682,0.009106032414221971,92.11656816921837
2019-03-22,534.4596557617188,-0.009939289919888017,530.2868565150669,504.02265625,0.009401090628101265,89.15605041680888
2019-03-25,535.6689453125,0.0022626395420954903,532.1233869280134,505.2644022623698,0.00939654026263437,89.12818072890869
2019-03-26,542.72509765625,0.013172599243425509,535.0283203125,506.7836171468099,0.00954557014327696,89.39241492470421
2019-03-27,539.9307861328125,-0.005148668332282225,536.5864345005581,508.16742451985675,0.0096601007449416,86.37695761903147
2019-03-28,540.7174072265625,0.0014568924646509718,537.9734845842634,509.44439290364585,0.009610227652189182,85.34458948904347
2019-04-01,542.8307495117188,0.00390840438445661,539.4511108398438,510.86968587239585,0.009517327073144035,85.76137866996503
2019-04-02,538.8506469726562,-0.007332124318017441,539.3118983677456,512.314931233724,0.009443979184834039,80.43132376283324
2019-04-03,538.3574829101562,-0.0009152147543491918,539.8687308175223,513.8184875488281,0.009369548843373942,76.13182867316043
2019-04-04,536.2911987304688,-0.003838126607840442,539.9576241629464,515.3373057047526,0.00933435050580558,65.41325988600401
2019-04-05,541.3748779296875,0.009479326178115643,539.7647356305804,517.0713694254557,0.009340221207888211,69.61878726944508
2019-04-08,537.5709228515625,-0.0070264713661483125,539.4276123046875,518.4884399414062,0.00939435781722328,59.3812010198982
2019-04-09,537.0659790039062,-0.0009393064732329259,538.9059797014509,519.8295847574869,0.00941749392549062,56.872381822839856
2019-04-10,525.34912109375,-0.02181642175862164,536.4086042131696,520.9715362548828,0.010111651385783559,43.42847703032095
2019-04-11,530.0805053710938,0.009006171491242387,535.1557268415179,522.0054758707682,0.009851001172716225,40.576808665350875
2019-04-12,531.9003295898438,0.0034331091226906807,534.2332763671875,523.2155242919922,0.009705227708405614,47.342887414264204
2019-04-15,537.4301147460938,0.010396280747774878,534.395978655134,524.7539143880208,0.009576444901021412,51.67793040324992
2019-04-16,541.24560546875,0.007099510462786229,534.3775111607143,526.5345438639323,0.009410193908064699,48.49766468669119
2019-04-18,538.56884765625,-0.004945551124025838,534.5200718470982,528.1805501302083,0.009535819593401773,48.613723848124664
2019-04-22,532.7103881835938,-0.010877828337363282,533.8978445870536,529.4453867594401,0.009744778210012444,42.61263747092909
2019-04-23,527.2158813476562,-0.010314247587084546,534.1645246233259,530.5493784586589,0.01000131192837472,36.4395873263565
2019-04-24,535.3049926757812,0.015343072191694729,534.9108799525669,531.7488576253255,0.010175182634645733,47.12596251461953
2019-04-25,531.4777221679688,-0.007149700750373134,534.8505074637277,532.8074564615886,0.010320021669803768,44.70936672737172
2019-04-26,535.5868530273438,0.007731520415593884,534.5871843610491,534.001069132487,0.010362937254074129,49.474848233870006
2019-04-30,544.1573486328125,0.016002064944322214,535.0031476702009,535.1473266601563,0.010152373085388603,51.97204154835629
2019-05-02,553.1622314453125,0.016548306909985877,537.0879167829241,536.1589599609375,0.00955157245254652,60.291442062091576
2019-05-03,556.01513671875,0.005157447691219508,540.4171665736607,537.2797790527344,0.009554765880131285,62.131830292003606
2019-05-06,546.740234375,-0.01668102490605672,543.2063598632812,537.8703206380209,0.009931928479675337,64.13729397432898
2019-05-07,545.3079833984375,-0.002619618763195164,544.6353585379464,538.3469848632812,0.009942422673395535,60.52264194075465
2019-05-08,541.7623291015625,-0.0065021133099464334,546.1045880998884,538.6561503092448,0.010027018739180741,56.65617304344459
2019-05-09,537.9231567382812,-0.00708645130355956,546.4383457728794,538.5927510579427,0.009804222782367008,50.340540987172595
2019-05-10,539.2380981445312,0.002444478155993801,545.735595703125,538.7520324707032,0.009633628745762523,48.56381840649384
2019-05-13,537.054443359375,-0.004049518742592517,543.4344831194196,538.7982157389323,0.009659123081791338,48.908888783348544
2019-05-14,537.21875,0.00030594038026610093,540.749285016741,538.6146708170573,0.009340486330150907,53.53856855284929
2019-05-15,536.93701171875,-0.0005244386597638151,539.3488246372768,538.5148783365886,0.009295720640207433,58.310019649235585
2019-05-16,542.560546875,0.01047336099675622,538.9563337053571,538.5763163248698,0.009492917897868458,56.47530098233924
2019-05-17,554.6415405273438,0.022266627608525935,540.7962210518973,538.9700093587239,0.010300446335715283,68.01830715764285
2019-05-20,571.1368408203125,0.029740470353672555,545.541033063616,540.0462158203125,0.011454233183672113,73.18535915450909
2019-05-21,564.4095458984375,-0.011778779516678939,549.1369541713169,540.9146179199219,0.011718404702140616,63.53366898446498
2019-05-22,564.8909301757812,0.0008528988937943627,553.1135951450893,541.8679423014323,0.011673963021437016,58.84543470195457
2019-05-23,547.5972900390625,-0.030614122502086172,554.5962437220982,542.0753560384114,0.012985667001909324,44.7869860238399
2019-05-24,557.2831420898438,0.017687910855238798,557.5028337751116,542.7324300130208,0.013274902227053732,56.4959606846491
2019-05-27,565.50146484375,0.014747122482634323,560.7801077706473,543.6802795410156,0.013491382987053864,61.48194677735052
2019-05-28,567.3446655273438,0.0032594092114386353,562.5948399135044,545.0801310221354,0.012732631752545267,64.83320557710778
2019-05-29,567.5090942382812,0.00028982155104007035,562.0765904017857,546.3277506510417,0.012681820603492445,67.91814525668323
