Date,close,daily_return,ma_7,ma_30,volatility_30,rsi_14
2019-02-12,1686.6790771484375,-0.006921940457613185,1694.9238804408483,1598.0730346679688,0.01204225308696935,83.62637169356674
2019-02-14,1680.9239501953125,-0.0034121054983706767,1694.26025390625,1601.509903971354,0.011990854737888402,79.46447740488804
2019-02-15,1668.6741943359375,-0.007287513428523407,1692.5160958426338,1605.1769612630208,0.011822531976737102,72.83973761702849
2019-02-18,1619.839599609375,-0.02926550604804945,1680.2428327287946,1607.8478841145834,0.012908785297186661,52.90207816758049
2019-02-19,1565.9906005859375,-0.033243414370424884,1659.3255440848213,1608.1482218424478,0.014267856695030086,37.066492572245075
2019-02-20,1574.1707763671875,0.0052236429632395165,1642.1019635881696,1608.840177408854,0.01428690607373649,39.24819111346164
2019-02-21,1573.71826171875,-0.0002874622342321498,1624.2852085658483,1609.6975382486978,0.014267737726418709,32.01934845933884
2019-02-22,1583.132080078125,0.005981895608870635,1609.4927804129463,1610.8249389648438,0.01430096539761726,30.925573120211325
2019-02-25,1632.0484619140625,0.030898484372525292,1602.5105678013392,1614.8407796223958,0.01450341987068465,39.587284623514186
2019-02-26,1676.0736083984375,0.026975391669890936,1603.567626953125,1621.1253580729167,0.014722052526259083,49.188475323891055
2019-02-27,1692.02294921875,0.009515895209132763,1613.8795340401787,1626.449881998698,0.013927275068460695,47.61157263476208
2019-02-28,1630.650634765625,-0.03627156149475519,1623.1166817801338,1629.664396158854,0.015699512824357092,38.05118580812279
2019-03-01,1640.475341796875,0.006025022663828983,1632.5887625558037,1632.4349731445313,0.015528413456890936,41.88395180568022
2019-03-05,1634.4739990234375,-0.0036582950200665376,1641.2681535993304,1634.8314819335938,0.015557779537221036,40.49833367727269
2019-03-06,1643.9287109375,0.005784559387124855,1649.9533865792412,1637.3225463867188,0.015569332793722752,43.605584694492755
2019-03-07,1655.19140625,0.006851084987789413,1653.259521484375,1640.3753784179687,0.015564737928983021,46.21342460349822
2019-03-08,1662.9195556640625,0.004669036695623907,1651.38037109375,1644.40654296875,0.015279159588258396,49.14177732305597
2019-03-11,1656.4246826171875,-0.0039057048939937777,1646.2949044363838,1647.510078938802,0.015173615047277307,56.24478307814954
2019-03-12,1654.4925537109375,-0.0011664453726910606,1649.700892857143,1650.0216756184896,0.015106131780977193,68.3607686619326
2019-03-13,1644.668212890625,-0.005937978263049315,1650.2998744419642,1651.268575032552,0.014851240266033058,64.52642079797405
2019-03-14,1633.8983154296875,-0.006548370897257572,1650.2176339285713,1651.3960001627604,0.014691720466561997,61.89470880347667
2019-03-15,1677.1015625,0.026441821172298985,1654.9566127232142,1653.0005208333334,0.015451603331482934,66.384732743839
2019-03-18,1663.001708984375,-0.00840727468800806,1656.0723702566963,1653.2389322916667,0.015262764834592112,56.142912862206046
2019-03-19,1663.001708984375,0.0,1656.0841064453125,1653.0430013020834,0.015194894566941387,46.85647120435447
2019-03-20,1656.6302490234375,-0.003831300909984403,1656.1134730747767,1652.0783650716146,0.015090299849227634,41.07775792574958
2019-03-22,1648.9022216796875,-0.004664907783921923,1655.3148542131696,1651.0123291015625,0.01510418127773059,56.30689799172393
2019-03-25,1631.3087158203125,-0.010669829677015685,1653.4063546316963,1648.5308715820313,0.014927777665978977,46.993843811024455
2019-03-26,1629.9931640625,-0.0008064394832532074,1652.8484758649554,1645.7835896809895,0.014895038972647571,48.48393483897668
2019-03-27,1617.8668212890625,-0.007439505294129289,1644.3863699776787,1643.2212890625,0.01484561593319294,41.33869160486074
2019-03-28,1644.5037841796875,0.0164642494302476,1641.7438092912946,1641.423563639323,0.015190731148963112,46.77742663789822
2019-04-01,1670.2777099609375,0.015672767693937883,1642.783238002232,1640.8768513997395,0.015443132881028557,52.00091086290318
2019-04-02,1709.4520263671875,0.023453774287131024,1650.3292061941963,1641.8277872721353,0.01601925712830568,62.2436969200225
2019-04-03,1709.4520263671875,0.0,1658.9791782924108,1643.1870483398438,0.01594928550166874,62.80405609090485
2019-04-04,1656.177978515625,-0.031164400655791957,1662.5319301060267,1644.3983276367187,0.016076506136171745,52.22999442785203
2019-04-05,1683.9659423828125,0.016778368163120394,1670.2423270089287,1648.3308390299478,0.014973075887126212,59.10038526770381
2019-04-08,1702.4232177734375,0.010960598980112257,1682.321812220982,1652.6059204101562,0.015045093113296696,55.057468405908196
2019-04-09,1719.48193359375,0.010020255622819274,1693.0329764229912,1657.4647094726563,0.015091581654317595,61.14896352706338
2019-04-10,1677.3475341796875,-0.024504124521972037,1694.0429513113838,1660.605224609375,0.01589364695303267,52.427936234574
2019-04-11,1660.28857421875,-0.010170200041030975,1687.0196010044642,1661.546561686198,0.015070644789976276,50.59753123834855
2019-04-12,1656.177978515625,-0.002475832073384754,1679.4090227399554,1660.8833740234375,0.014234895692225665,51.202594244544514
2019-04-15,1737.404296875,0.04904443810572534,1691.0127825055804,1662.396085611979,0.016777173977278903,64.48857280885622
2019-04-16,1752.6138916015625,0.00875420577347441,1700.8196323939733,1666.4615275065105,0.015272786444633509,66.13305726164162
2019-04-18,1767.61767578125,0.00856080409472093,1710.1331263950892,1670.6996053059895,0.015299852492026466,69.5544752521142
2019-04-22,1776.98974609375,0.005302091306796708,1718.3485281808037,1675.4501302083333,0.015260807277608278,68.11689761993551
