Price,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,294.1175537109375,495.89239501953125,1579.2080078125,365.23651123046875,556.7545166015625,486.0378723144531,1511.5732421875,177.11111450195312,296.0484872988055,498.73360278703433,1602.4132794506768,367.7933351715042,558.3836446676972,493.0094176370213,1538.1942167075101,184.42934656077648,288.7635677173827,494.9766641596367,1569.5242912456051,362.0525829053509,547.7943122378211,481.85495103045383,1505.3794067510833,176.22702342122983,295.91682800782564,496.33856587733516,1602.056253481822,367.2144310821323,554.0664652358487,490.26505606504674,1534.0923654629569,183.25057344205885,5922578,6408040,1113837,12537973,12281903,14139060,9209862,25902974
2019-01-14,291.0456237792969,493.485595703125,1574.2991943359375,360.2193908691406,571.74267578125,485.4845886230469,1487.5362548828125,179.17396545410156,293.85427646211537,495.422767141627,1589.3379735311096,365.3812387551702,578.5035492171288,487.1223294251018,1518.5052297190603,194.79275814289764,288.01754882062494,492.73421945891204,1570.907611068319,359.5922570760978,566.8960084755764,480.88114438580243,1484.870051751215,174.31151692405615,293.2398762577652,495.422767141627,1580.6359967000392,365.3812387551702,575.8969336335091,484.6878346813324,1517.6848595247225,177.1111162235226,3674704,4855160,1018068,14844029,19312937,8994060,3615370,18935120
2019-01-15,296.4434509277344,498.2403869628906,1597.459716796875,359.6405029296875,591.8621826171875,500.02520751953125,1532.2872314453125,182.07180786132812,297.8477771449263,499.32052954350223,1600.6281722947917,362.19729739700404,594.6317201044906,501.0654049949557,1533.5587449470718,182.51384592553396,286.5693305079929,493.5677183637158,1577.4229019071875,357.56612362391314,576.0596708446352,489.11418486997286,1483.2290620140438,178.04431663431052,289.6412718181513,494.283896118709,1577.4229019071875,360.4123554104411,576.0596708446352,489.11418486997286,1484.869802126891,180.05806224781932,5706902,5087556,1614600,12960779,19671304,22011407,7711653,13536578
2019-01-16,293.1081848144531,497.8412780761719,1582.0194091796875,362.1007995605469,600.1708374023438,502.791748046875,1534.2152099609375,182.17001342773438,303.0262013634135,498.9683710383715,1601.8777662836346,366.39430617027557,600.9854015274058,506.8197509366535,1538.193985040341,184.0364178441528,290.8700659581425,495.0353262313632,1576.8874741977684,358.96510108772685,593.409965107738,500.3350923620848,1515.2236215304054,180.79478069051044,295.5657556424928,497.80607970992446,1597.5936726321609,358.96510108772685,594.5503747696445,502.39332672848343,1534.0921344135668,182.7102887848269,7705383,5252452,2054033,15106484,9658944,13961606,2359280,11874245
2019-01-17,291.4405822753906,500.68255615234375,1563.2322998046875,361.4254455566406,597.3606567382812,502.1498718261719,1557.3580322265625,181.62974548339844,295.56576833827415,501.52783299833345,1587.9994686996804,364.65763303355703,601.9629645134673,508.10332119014834,1560.3998674838283,183.98730668631651,289.8168337663948,496.23294316428854,1555.1997044873926,359.6887333054408,593.8987587691578,500.1801034631088,1538.449077035768,180.1562753524171,292.2744046999973,499.02714350523325,1585.902090601085,362.7762021224951,599.3563490403634,506.57623657866645,1543.9572977527025,182.71029624168338,4569576,8240228,1941204,13171721,6903771,16379077,2625816,9365756
2019-01-18,273.0966491699219,500.2011413574219,1556.6275634765625,358.91693115234375,595.4055786132812,524.2374267578125,1562.5787353515625,180.05804443359375,291.7916762701161,502.25571710528124,1578.7171986668284,363.1621792878685,599.6820397057184,526.6940822128304,1565.4972316515446,182.36647186891045,267.08439574042933,496.51465690938636,1541.6334522319862,357.3249667820581,591.6178360445916,502.50396544977406,1542.3132453978374,178.0934176857944,290.08016472769276,501.3164824776884,1561.8933972915243,361.42549623742764,594.6317328531462,508.5016772065438,1546.4238883759765,182.36647186891045,16359865,5207976,3234056,12212121,5902151,56181172,1683728,6797621
2019-01-21,273.272216796875,504.4041442871094,1559.12646484375,358.62744140625,606.8502807617188,547.8521728515625,1569.19677734375,178.28988647460938,276.9146924280311,508.71290565231345,1569.0333086546655,362.9209186599025,611.7376655732226,548.8481079387703,1588.352413362181,181.67886478998042,268.57652599423625,499.32056029062755,1549.442748636454,357.56612216632664,597.8900752739619,526.1408115885986,1558.3035736806812,177.4549140685569,272.7017128623476,502.4787249532291,1561.0007149243515,359.88170904343286,601.3112545854243,528.5089422923119,1563.6885560118367,181.04036705987912,8621248,17561512,1628067,8908581,8129422,48206814,2409803,6918258
2019-01-22,267.5671081542969,501.51611328125,1562.07177734375,356.07061767578125,607.1354370117188,546.7234497070312,1563.6064453125,177.65139770507812,273.930412763697,504.0872567141924,1566.3558711692958,359.39929405616294,610.1086163775504,551.9465982608722,1577.0482282026128,178.28989546738467,264.6706928830177,499.9194028837618,1554.0838522356332,353.22438589949115,597.890152765183,539.8404290416297,1553.823094645087,172.83805269084712,273.84264980879294,503.899398315723,1558.3232769581714,357.51786315520206,603.7957435111606,545.7054129345357,1567.8814740013288,178.28989546738467,8770625,8796976,1776472,14756076,6723375,36207430,2457093,9775717
2019-01-23,266.5577392578125,494.3661193847656,1577.24462890625,354.4786376953125,595.9758911132812,542.8062133789062,1541.984619140625,177.06199645996094,269.8052361795616,501.51608879171346,1592.283519104975,360.5570861037994,604.8953289449569,550.7294327776158,1567.0595452954392,179.46866137522625,265.3289686873932,493.4386366626351,1561.3580061983514,353.5620665992125,593.9801989659418,540.9028678604006,1537.3807183443578,175.3920666201185,269.2786287122195,501.08166984936196,1563.6785118805115,355.82939419354847,604.6916879037395,545.9046457212053,1562.8667088623658,178.48634794132911,5617992,7624288,2321782,9726450,7212099,19313542,2578169,9778926
2019-01-24,264.75848388671875,493.62652587890625,1570.3720703125,351.9700622558594,599.5387573242188,552.1679077148438,1563.318603515625,172.29776000976562,270.15633712416724,498.1817911405713,1592.2832445122701,355.5399459467418,602.896809602706,554.7130882758987,1566.3604390448324,177.1111045414605,258.4829118474513,492.6050852351728,1567.8729975786557,349.02734178082454,590.5292951239915,540.0617976543355,1541.4910501031682,170.62783026975418,269.1908553581465,495.44629306908894,1576.8874399013632,353.70677436667347,596.3444734570861,542.2307176885093,1549.5479501347033,176.81640753112612,10389592,10111572,1350870,17521254,7429783,28775487,1962927,13461254
