,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-02-12,184.94451817331543,141.25708870969893,267.2669100469031,184.94451817331543,184.94451817331543,16.84134453733747,16.84134453733747,16.84134453733747,16.84134453733747,16.84134453733747,16.84134453733747,0.0,0.0,0.0,201.7858627106529
1,2019-02-14,184.6084359593662,137.61402742971657,263.7633411843523,184.6084359593662,184.6084359593662,17.146119550616504,17.146119550616504,17.146119550616504,17.146119550616504,17.146119550616504,17.146119550616504,0.0,0.0,0.0,201.7545555099827
2,2019-02-15,184.44039485239156,135.12400492281722,264.40343267993893,184.44039485239156,184.44039485239156,17.173561484637116,17.173561484637116,17.173561484637116,17.173561484637116,17.173561484637116,17.173561484637116,0.0,0.0,0.0,201.61395633702867
3,2019-02-18,183.93627153146772,133.41617883115407,262.5585534159387,183.93627153146772,183.93627153146772,16.663164531294456,16.663164531294456,16.663164531294456,16.663164531294456,16.663164531294456,16.663164531294456,0.0,0.0,0.0,200.59943606276218
4,2019-02-19,183.76823042449308,139.4595485523091,261.0779027822005,183.76823042449308,183.76823042449308,16.276667212179504,16.276667212179504,16.276667212179504,16.276667212179504,16.276667212179504,16.276667212179504,0.0,0.0,0.0,200.0448976366726
5,2019-02-20,183.60018931751844,133.70325640473922,264.4232571226106,183.60018931751844,183.60018931751844,15.776425314198002,15.776425314198002,15.776425314198002,15.776425314198002,15.776425314198002,15.776425314198002,0.0,0.0,0.0,199.37661463171645
6,2019-02-21,183.43214821054383,133.7565553096047,264.07411268452614,183.43214821054383,183.43214821054383,15.16173038836623,15.16173038836623,15.16173038836623,15.16173038836623,15.16173038836623,15.16173038836623,0.0,0.0,0.0,198.59387859891007
7,2019-02-22,183.26410710356922,133.46604779750254,265.04511874152513,183.26410710356922,183.26410710356922,14.433772444908701,14.433772444908701,14.433772444908701,14.433772444908701,14.433772444908701,14.433772444908701,0.0,0.0,0.0,197.6978795484779
8,2019-02-25,182.75998378264532,127.75871376209125,254.9076309393693,182.75998378264532,182.75998378264532,11.611345350098627,11.611345350098627,11.611345350098627,11.611345350098627,11.611345350098627,11.611345350098627,0.0,0.0,0.0,194.37132913274394
9,2019-02-26,182.59194267567074,135.09548819025176,262.8687036800146,182.59194267567074,182.59194267567074,10.480853570923209,10.480853570923209,10.480853570923209,10.480853570923209,10.480853570923209,10.480853570923209,0.0,0.0,0.0,193.07279624659395
10,2019-02-27,182.4239015686961,127.47799260576907,253.1631415625993,182.4239015686961,182.4239015686961,9.2715309775336,9.2715309775336,9.2715309775336,9.2715309775336,9.2715309775336,9.2715309775336,0.0,0.0,0.0,191.69543254622968
