,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
32,2019-04-03,605.3901992028988,477.9569675018415,630.3299600381454,605.3901992028988,605.3901992028988,-59.700344440809175,-59.700344440809175,-59.700344440809175,-59.700344440809175,-59.700344440809175,-59.700344440809175,0.0,0.0,0.0,545.6898547620896
33,2019-04-04,604.9713275391133,469.56110694125425,621.1440661377081,604.9713275391133,604.9713275391133,-59.577659272638364,-59.577659272638364,-59.577659272638364,-59.577659272638364,-59.577659272638364,-59.577659272638364,0.0,0.0,0.0,545.393668266475
34,2019-04-05,604.5524558753277,463.81101036009574,618.7080004387905,604.5524558753277,604.5524558753277,-59.379994761906424,-59.379994761906424,-59.379994761906424,-59.379994761906424,-59.379994761906424,-59.379994761906424,0.0,0.0,0.0,545.1724611134213
35,2019-04-08,603.2958408839711,469.39096355103595,616.9650242415399,603.2958408839711,603.2958408839711,-58.10940813747474,-58.10940813747474,-58.10940813747474,-58.10940813747474,-58.10940813747474,-58.10940813747474,0.0,0.0,0.0,545.1864327464964
36,2019-04-09,602.8769692201856,468.3431811649453,619.3825779956425,602.8769692201856,602.8769692201856,-57.39659115145734,-57.39659115145734,-57.39659115145734,-57.39659115145734,-57.39659115145734,-57.39659115145734,0.0,0.0,0.0,545.4803780687283
37,2019-04-10,602.4580975564,470.9394507391176,622.6359634851865,602.4580975564,602.4580975564,-56.51635641341211,-56.51635641341211,-56.51635641341211,-56.51635641341211,-56.51635641341211,-56.51635641341211,0.0,0.0,0.0,545.9417411429879
38,2019-04-11,602.0392258926145,471.5351345221098,618.4623505670917,602.0392258926145,602.0392258926145,-55.46172020392554,-55.46172020392554,-55.46172020392554,-55.46172020392554,-55.46172020392554,-55.46172020392554,0.0,0.0,0.0,546.5775056886889
39,2019-04-12,601.620354228829,469.321032154115,627.6074302943927,601.620354228829,601.620354228829,-54.23077970585637,-54.23077970585637,-54.23077970585637,-54.23077970585637,-54.23077970585637,-54.23077970585637,0.0,0.0,0.0,547.3895745229727
40,2019-04-15,600.3637392374724,476.9655505930721,628.4135157542006,600.3637392374724,600.3637392374724,-49.541197489925096,-49.541197489925096,-49.541197489925096,-49.541197489925096,-49.541197489925096,-49.541197489925096,0.0,0.0,0.0,550.8225417475472
41,2019-04-16,599.9448675736869,478.00051885093046,633.5209772018601,599.9448675736869,599.9448675736869,-47.69250839875892,-47.69250839875892,-47.69250839875892,-47.69250839875892,-47.69250839875892,-47.69250839875892,0.0,0.0,0.0,552.252359174928
42,2019-04-18,599.1071242461159,480.5266403809699,633.5264014400142,599.1071242461159,599.1071242461159,-43.70153369742811,-43.70153369742811,-43.70153369742811,-43.70153369742811,-43.70153369742811,-43.70153369742811,0.0,0.0,0.0,555.4055905486878
43,2019-04-22,597.4316375909738,481.2878294184249,639.4131201646777,597.4316375909738,597.4316375909738,-35.417980353884374,-35.417980353884374,-35.417980353884374,-35.417980353884374,-35.417980353884374,-35.417980353884374,0.0,0.0,0.0,562.0136572370894
44,2019-04-23,597.0127659271882,485.4276701451956,637.4289379229791,597.0127659271882,597.0127659271882,-33.4853945902434,-33.4853945902434,-33.4853945902434,-33.4853945902434,-33.4853945902434,-33.4853945902434,0.0,0.0,0.0,563.5273713369447
45,2019-04-24,596.5938942634026,489.86750658216766,645.0291519875921,596.5938942634026,596.5938942634026,-31.676637097829836,-31.676637097829836,-31.676637097829836,-31.676637097829836,-31.676637097829836,-31.676637097829836,0.0,0.0,0.0,564.9172571655728
46,2019-04-25,596.1750225996171,490.4640363858033,642.4707915883007,596.1750225996171,596.1750225996171,-30.022559165401145,-30.022559165401145,-30.022559165401145,-30.022559165401145,-30.022559165401145,-30.022559165401145,0.0,0.0,0.0,566.152463434216
47,2019-04-26,595.7561509358317,493.72328289123396,642.5762456469498,595.7561509358317,595.7561509358317,-28.550512874456935,-28.550512874456935,-28.550512874456935,-28.550512874456935,-28.550512874456935,-28.550512874456935,0.0,0.0,0.0,567.2056380613748
48,2019-04-30,594.0806642806896,496.55397174432454,640.4486810572042,594.0806642806896,594.0806642806896,-24.86236633617926,-24.86236633617926,-24.86236633617926,-24.86236633617926,-24.86236633617926,-24.86236633617926,0.0,0.0,0.0,569.2182979445104
49,2019-05-02,593.2429209531184,487.859219580466,643.5028467270103,593.2429209531184,593.2429209531184,-24.44121874231509,-24.44121874231509,-24.44121874231509,-24.44121874231509,-24.44121874231509,-24.44121874231509,0.0,0.0,0.0,568.8017022108033
50,2019-05-03,592.824049289333,487.8362258147699,643.8234161037155,592.824049289333,592.824049289333,-24.567524258420622,-24.567524258420622,-24.567524258420622,-24.567524258420622,-24.567524258420622,-24.567524258420622,0.0,0.0,0.0,568.2565250309124
51,2019-05-06,591.5674342979763,494.3590630063377,641.5808393472128,591.5674342979763,591.5674342979763,-26.041794830001958,-26.041794830001958,-26.041794830001958,-26.041794830001958,-26.041794830001958,-26.041794830001958,0.0,0.0,0.0,565.5256394679743
52,2019-05-07,591.1485626341909,486.0087636873991,641.9788868165515,591.1485626341909,591.1485626341909,-26.797122618183,-26.797122618183,-26.797122618183,-26.797122618183,-26.797122618183,-26.797122618183,0.0,0.0,0.0,564.3514400160078
53,2019-05-08,590.7296909704053,492.94911910581646,634.4987533459106,590.7296909704053,590.7296909704053,-27.62338912697786,-27.62338912697786,-27.62338912697786,-27.62338912697786,-27.62338912697786,-27.62338912697786,0.0,0.0,0.0,563.1063018434274
54,2019-05-09,590.3108193066197,485.8691029969107,636.861200259042,590.3108193066197,590.3108193066197,-28.479700222393774,-28.479700222393774,-28.479700222393774,-28.479700222393774,-28.479700222393774,-28.479700222393774,0.0,0.0,0.0,561.831119084226
55,2019-05-10,589.8919476428342,479.9762382476068,636.7572279866538,589.8919476428342,589.8919476428342,-29.323784974122837,-29.323784974122837,-29.323784974122837,-29.323784974122837,-29.323784974122837,-29.323784974122837,0.0,0.0,0.0,560.5681626687114
56,2019-05-13,588.6353326514776,478.7605103127863,631.7363175172158,588.6353326514776,588.6353326514776,-31.36318846935214,-31.36318846935214,-31.36318846935214,-31.36318846935214,-31.36318846935214,-31.36318846935214,0.0,0.0,0.0,557.2721441821254
57,2019-05-14,588.2164610942759,477.2341537886493,635.1380991425035,588.2164610942759,588.2164610942759,-31.747878181301633,-31.747878181301633,-31.747878181301633,-31.747878181301633,-31.747878181301633,-31.747878181301633,0.0,0.0,0.0,556.4685829129743
58,2019-05-15,587.7975895370743,485.46002992002747,635.4361833257587,587.7975895370743,587.7975895370743,-31.927859272625685,-31.927859272625685,-31.927859272625685,-31.927859272625685,-31.927859272625685,-31.927859272625685,0.0,0.0,0.0,555.8697302644485
