Date,close,daily_return,ma_7,ma_30,volatility_30,rsi_14,anomaly,anomaly_score,is_anomaly
2019-02-12,1601.60986328125,-0.0057071630466232,1620.499302455357,1587.4443725585938,0.0089359945709659,56.45382411712592,1,0.12105120408434294,0
2019-02-14,1593.1759033203125,-0.0052659265869271,1618.2617013113838,1587.4577677408854,0.00882719214822,55.99068986461308,1,0.11961171894034389,0
2019-02-15,1582.2425537109375,-0.0068626129648263,1612.0587506975446,1586.9936564127604,0.0089063171559373,53.59069998146086,1,0.11628506308276465,0
2019-02-18,1563.589111328125,-0.01178924327314,1602.107282366071,1586.1070963541667,0.0091332357418235,51.93563202526269,1,0.11650016174044481,0
2019-02-19,1551.138427734375,-0.0079628871188379,1589.2168666294642,1584.7088256835937,0.0092209209810881,45.926587109391946,1,0.12565094697564239,0
2019-02-20,1547.1668701171875,-0.0025604146903822,1578.5322440011162,1583.59765625,0.0091312191709092,50.03551212235593,1,0.12559117642053913,0
2019-02-21,1566.0880126953125,0.0122295422320488,1572.144391741071,1582.6962158203123,0.009301073249501,47.889404854912414,1,0.11618584366228968,0
2019-02-22,1578.4495849609375,0.0078932806875586,1568.8357805524554,1582.1711263020834,0.0094258271637617,41.47495108522546,1,0.12208456031701898,0
2019-02-25,1579.8773193359375,0.0009045169314263,1566.9359828404015,1582.193436686198,0.0092685851326596,40.91805869126338,1,0.12310916320302245,0
2019-02-26,1581.751708984375,0.0011864146826447,1566.865862165179,1582.4418538411458,0.0092511827501503,34.80544012408308,1,0.11516680665737267,0
2019-02-27,1549.844482421875,-0.020172082875755,1564.90234375,1580.8546793619792,0.009551542296912,25.297459581289715,1,0.05237721913823512,0
2019-02-28,1546.408203125,-0.0022171768431277,1564.226597377232,1579.6676391601563,0.0094133669868243,21.071252201437478,1,0.08458735259766226,0
2019-03-01,1548.193359375,0.001154388761255,1564.3732386997767,1579.1663411458333,0.0091783767934482,24.82494234178988,1,0.09037476850863368,0
2019-03-05,1539.2236328125,-0.0057936733213486,1560.5354701450892,1578.5862101236978,0.0092060434602304,25.201054925126712,1,0.08913618162051873,0
2019-03-06,1517.0892333984375,-0.0143802362062347,1551.7697056361608,1577.184969075521,0.0095462763619698,23.12721079828205,1,0.06822757965639548,0
2019-03-07,1522.0872802734375,0.003294497624114,1543.5139857700892,1575.8521525065105,0.0095636986520943,26.892976291372648,1,0.07979489249732064,0
2019-03-08,1518.69580078125,-0.0022281767518471,1534.505998883929,1573.9005249023437,0.009356447291392,28.27949119997598,1,0.09277208596538977,0
2019-03-11,1530.6109619140625,0.0078456535710991,1531.7583530970985,1572.5751546223958,0.0094797006126571,38.18364885067476,1,0.09770286754596513,0
2019-03-12,1548.3272705078125,0.0115746646499874,1532.032505580357,1571.920654296875,0.0097436660933156,49.02936478165028,1,0.09710572418155283,0
2019-03-13,1559.751220703125,0.0073782529139112,1533.683628627232,1572.0575032552083,0.0097372908041827,54.13245038421916,1,0.09888159105212413,0
2019-03-14,1550.5587158203125,-0.00589357120597,1535.3029261997767,1571.480362955729,0.0096846100821686,44.552421212738885,1,0.11103011635856785,0
2019-03-15,1515.83984375,-0.0223912011303258,1535.1244419642858,1570.4405924479167,0.0102317628662516,31.01483651406696,1,0.050703460597035344,0
2019-03-18,1515.0809326171875,-0.000500653902153,1534.12353515625,1568.4859903971353,0.0096595038403161,30.27175892545212,1,0.09183943693947405,0
2019-03-19,1516.9554443359375,0.0012372353703322,1533.8749128069196,1565.521366373698,0.0087695347340715,30.27181075602593,1,0.08396525269047383,0
2019-03-20,1506.156005859375,-0.0071191533784896,1530.38134765625,1562.0985961914062,0.0087918049758608,34.73655659009414,1,0.08877881234884166,0
2019-03-22,1497.6771240234375,-0.0056294844643929,1523.1456124441963,1557.832393391927,0.008480898725229,33.55428213610391,1,0.08534902592883575,0
2019-03-25,1493.9285888671875,-0.0025028993874058,1513.7423793247767,1553.1883666992187,0.0083665583963363,31.92628979442816,1,0.08186891653978057,0
2019-03-26,1502.80908203125,0.0059443893304138,1506.9210030691963,1548.5696248372396,0.0084000301394455,37.86436441567444,1,0.0718557082023713,0
2019-03-27,1500.1314697265625,-0.0017817381706719,1504.6769496372767,1544.508699544271,0.0082304745438497,43.506489864144754,1,0.0805355382386288,0
2019-03-28,1502.898681640625,0.0018446462659482,1502.9366280691963,1540.9118896484374,0.0082269752953161,42.52453649586786,1,0.07465026511051942,0
2019-04-01,1508.3426513671875,0.0036223131958699,1501.7062290736608,1537.8029825846354,0.0082690131021547,46.03012337496384,1,0.07467582945955809,0
2019-04-02,1505.7989501953125,-0.001686421297952,1501.6552211216515,1534.8904174804688,0.0082455276902004,39.74921225374104,1,0.07821916008537744,0
2019-04-03,1491.20654296875,-0.0096908071457147,1500.7308523995537,1531.8558837890623,0.0083206939289482,25.775978547282435,1,0.04599085587801066,0
2019-04-04,1487.41357421875,-0.0025435569391003,1499.8001360212054,1529.31669921875,0.0081119018391019,17.199767084527053,1,0.033317036984562565,0
2019-04-05,1480.76416015625,-0.004470454067217,1496.6508614676338,1526.9708902994792,0.008042670824413,17.60579898674105,1,0.036619407369657186,0
2019-04-08,1485.940673828125,0.0034958393856108,1494.6236049107142,1524.9300170898437,0.0080913871779389,30.879110927917463,1,0.05369238055054826,0
2019-04-09,1499.86376953125,0.0093698866639513,1494.1900460379463,1522.7225423177083,0.0079418051446636,41.67084263739612,1,0.06486099713298132,0
2019-04-10,1512.0465087890625,0.0081225638656636,1494.7191685267858,1520.5091064453125,0.007951170173053,47.58553941405472,1,0.0699116339929936,0
2019-04-11,1526.5498046875,0.0095918318743069,1497.6835763113838,1518.731522623698,0.0081925557041028,59.6780733991723,1,0.06483453753738821,0
2019-04-12,1536.5906982421875,0.0065775080012819,1504.167027064732,1517.2261555989585,0.0083030747832837,68.19703349194896,1,0.05920535736756416,0
2019-04-15,1536.94775390625,0.0002323687527661,1511.2433384486608,1516.7962646484375,0.0074661778502562,70.77590791023535,1,0.05334219901146142,0
2019-04-16,1551.6741943359375,0.0095816142040348,1521.3733433314733,1516.971797688802,0.0076671150939072,72.33786337120083,1,0.04613691050067936,0
2019-04-18,1552.87890625,0.0007763948891204,1530.9359479631696,1517.1279825846354,0.0076657042213398,74.4417406807828,1,0.051786463134793737,0
2019-04-22,1552.834228515625,-2.8770906858932577e-05,1538.5031563895088,1517.581669108073,0.007583929721236,73.73771252828875,1,0.05321300564717246,0
2019-04-23,1556.7166748046875,0.0025002322963822,1544.8846086774554,1518.9025838216146,0.007063929672703,73.34194883007522,1,0.04370369221931891,0
2019-04-24,1564.2137451171875,0.0048159504127112,1550.265171595982,1520.3067993164063,0.0070872548066361,76.90097994684272,1,0.04772179419419553,0
2019-04-25,1547.7913818359375,-0.0104987974517636,1551.865269252232,1521.2766520182292,0.0073697637524701,75.62633579050603,1,0.04446172533984172,0
2019-04-26,1559.5281982421875,0.0075829446681168,1555.0910470145088,1522.2405598958333,0.0073610810256519,80.46731160192388,1,0.03655595139374057,0
2019-04-30,1568.7657470703125,0.005923297083398,1557.5326974051338,1522.9218424479166,0.0071408945163548,86.38363589565006,1,0.019044207828031845,0
2019-05-02,1538.28662109375,-0.0194287299002305,1555.4480852399554,1522.2063557942708,0.007884142097056,67.89748444052675,1,0.049502722721821546,0
2019-05-03,1511.51123046875,-0.0174059829019134,1549.5447998046875,1520.9047729492188,0.0084210542570591,53.66063824073292,1,0.0655829851119627,0
2019-05-06,1489.5107421875,-0.0145552926354554,1539.9439522879463,1520.0271362304688,0.0078295021056653,43.328994714883386,1,0.06293052254888554,0
2019-05-07,1515.0362548828125,0.0171368436442598,1532.918596540179,1520.0256469726562,0.0084696824446166,46.80055712687527,1,0.07234110867906896,0
2019-05-08,1507.182373046875,-0.005183956364493,1527.1173095703125,1519.6998779296875,0.0085192122377952,41.72731487045654,1,0.08276080658175444,0
2019-05-09,1520.614501953125,0.0089120793518147,1521.5582101004463,1520.1818277994792,0.0085715802361948,45.7202149968078,1,0.08771386153524263,0
2019-05-10,1506.066650390625,-0.009567087216263,1512.6011962890625,1520.4614786783854,0.0086956146433268,38.03830768964791,1,0.07061826956331196,0
2019-05-13,1519.0526123046875,0.0086224350766244,1509.853480747768,1521.298946126302,0.0088118156008963,41.64457992986519,1,0.07998089671493225,0
2019-05-14,1515.928955078125,-0.0020563193145912,1510.484584263393,1521.7362752278646,0.0087652409850323,41.02062540318797,1,0.08216000571700066,0
2019-05-15,1491.4296875,-0.0161612241101776,1510.7587193080358,1521.4462158203123,0.0092635311545998,35.563454226547776,1,0.060477729141610204,0
2019-05-16,1506.736083984375,0.0102629018402016,1509.5729806082588,1521.574129231771,0.0094516984038256,37.71458390408725,1,0.07915802968851493,0
2019-05-17,1550.1121826171875,0.0287881196274997,1515.705810546875,1522.966446940104,0.0107939462646088,50.44480214118935,1,0.03677963550776364,0
2019-05-20,1581.974609375,0.0205549166796537,1524.471540178571,1525.505635579427,0.0113546550946981,53.99394178711632,1,0.0576166430001146,0
2019-05-21,1593.3544921875,0.0071934674204385,1536.9412318638392,1528.910567220052,0.0111873599364734,54.34202942037439,1,0.0863520323077781,0
2019-05-22,1578.2261962890625,-0.0094946202948648,1545.3946010044642,1531.937654622396,0.0113611528721973,57.45705501197696,1,0.0880156212567248,0
2019-05-23,1565.3294677734375,-0.0081716604032739,1552.4518171037946,1534.7564982096353,0.0114540023585557,60.59753829261175,1,0.09356668425079073,0
